transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference,date,year,month,day,hour,day_of_week,is_weekend
2026-04-08 11:00:00,subway,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,omny,OMNY - Full Fare,,36.0,40.755745,-73.98758,POINT (-73.98758 40.755745),2026-04-08,2026,4,8,11,Wednesday,False
2026-04-21 08:00:00,subway,169,"Canal St (A,C,E)",Manhattan,omny,OMNY - Full Fare,463.0,2.0,40.720825,-74.005226,POINT (-74.005226 40.720825),2026-04-21,2026,4,21,8,Tuesday,False
2026-04-14 12:00:00,subway,107,"Broad St (J,Z)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.706474,-74.011055,POINT (-74.011055 40.706474),2026-04-14,2026,4,14,12,Tuesday,False
2026-04-10 03:00:00,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Other,1.0,0.0,40.70682,-74.0091,POINT (-74.0091 40.70682),2026-04-10,2026,4,10,3,Friday,False
2026-04-13 17:00:00,subway,8,"5 Av/59 St (N,R,W)",Manhattan,omny,OMNY - Full Fare,,53.0,40.764812,-73.97335,POINT (-73.97335 40.764812),2026-04-13,2026,4,13,17,Monday,False
2026-04-08 00:00:00,subway,164,"34 St-Penn Station (A,C,E)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.75229,-73.99339,POINT (-73.99339 40.75229),2026-04-08,2026,4,8,0,Wednesday,False
2026-04-18 12:00:00,subway,297,215 St (1),Manhattan,omny,OMNY - Other,3.0,0.0,40.869446,-73.915276,POINT (-73.915276 40.869446),2026-04-18,2026,4,18,12,Saturday,True
2026-04-21 00:00:00,subway,143,Inwood-207 St (A),Manhattan,omny,OMNY - Students,1.0,0.0,40.868073,-73.9199,POINT (-73.9199 40.868073),2026-04-21,2026,4,21,0,Tuesday,False
2026-04-19 04:00:00,subway,438,"135 St (2,3)",Manhattan,omny,OMNY - Other,3.0,0.0,40.814228,-73.94077,POINT (-73.94077 40.814228),2026-04-19,2026,4,19,4,Sunday,True
2026-04-06 19:00:00,subway,319,28 St (1),Manhattan,omny,OMNY - Seniors & Disability,33.0,0.0,40.747215,-73.99336,POINT (-73.99336 40.747215),2026-04-06,2026,4,6,19,Monday,False
2026-04-20 07:00:00,subway,476,86 St (Q),Manhattan,metrocard,Metrocard - Other,2.0,0.0,40.77789,-73.95179,POINT (-73.95179 40.77789),2026-04-20,2026,4,20,7,Monday,False
2026-04-16 19:00:00,subway,625,"Delancey St-Essex St (F,M,J,Z)",Manhattan,omny,OMNY - Students,102.0,4.0,40.718464,-73.98778,POINT (-73.98778 40.718464),2026-04-16,2026,4,16,19,Thursday,False
2026-04-20 19:00:00,subway,623,"Canal St (6,J,Z,N,Q,R,W)",Manhattan,omny,OMNY - Full Fare,,71.0,40.7187,-74.00058,POINT (-74.00058 40.7187),2026-04-20,2026,4,20,19,Monday,False
2026-04-12 09:00:00,subway,310,"96 St (1,2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,1.0,0.0,40.79392,-73.97232,POINT (-73.97232 40.79392),2026-04-12,2026,4,12,9,Sunday,True
2026-04-14 21:00:00,subway,602,"14 St-Union Sq (4,5,6,L,N,Q,R,W)",Manhattan,omny,OMNY - Other,47.0,0.0,40.735065,-73.99042,POINT (-73.99042 40.735065),2026-04-14,2026,4,14,21,Tuesday,False
2026-04-16 06:00:00,subway,628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,omny,OMNY - Full Fare,,9.0,40.71009,-74.007835,POINT (-74.007835 40.71009),2026-04-16,2026,4,16,6,Thursday,False
2026-04-18 20:00:00,subway,324,Houston St (1),Manhattan,omny,OMNY - Students,9.0,0.0,40.728252,-74.00536,POINT (-74.00536 40.728252),2026-04-18,2026,4,18,20,Saturday,True
2026-04-01 20:00:00,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Other,1.0,0.0,40.74408,-73.99566,POINT (-73.99566 40.74408),2026-04-01,2026,4,1,20,Wednesday,False
2026-04-10 05:00:00,subway,149,163 St-Amsterdam Av (C),Manhattan,omny,OMNY - Fair Fare,11.0,1.0,40.836014,-73.939896,POINT (-73.939896 40.836014),2026-04-10,2026,4,10,5,Friday,False
2026-04-15 16:00:00,subway,16,"8 St-NYU (R,W)",Manhattan,omny,OMNY - Full Fare,,3.0,40.730328,-73.99263,POINT (-73.99263 40.730328),2026-04-15,2026,4,15,16,Wednesday,False
2026-04-05 22:00:00,subway,308,Cathedral Pkwy (110 St) (1),Manhattan,omny,OMNY - Fair Fare,7.0,0.0,40.803967,-73.96685,POINT (-73.96685 40.803967),2026-04-05,2026,4,5,22,Sunday,True
2026-04-15 00:00:00,subway,118,3 Av (L),Manhattan,metrocard,Metrocard - Other,2.0,0.0,40.73285,-73.98612,POINT (-73.98612 40.73285),2026-04-15,2026,4,15,0,Wednesday,False
2026-04-10 20:00:00,subway,320,23 St (1),Manhattan,omny,OMNY - Other,3.0,0.0,40.74408,-73.99566,POINT (-73.99566 40.74408),2026-04-10,2026,4,10,20,Friday,False
2026-04-08 13:00:00,subway,320,23 St (1),Manhattan,omny,OMNY - Other,4.0,0.0,40.74408,-73.99566,POINT (-73.99566 40.74408),2026-04-08,2026,4,8,13,Wednesday,False
2026-04-21 19:00:00,subway,231,"Grand St (B,D)",Manhattan,omny,OMNY - Students,46.0,0.0,40.718266,-73.99375,POINT (-73.99375 40.718266),2026-04-21,2026,4,21,19,Tuesday,False
2026-04-05 04:00:00,subway,277,"7 Av (E,B,D)",Manhattan,omny,OMNY - Full Fare,38.0,0.0,40.762863,-73.981636,POINT (-73.981636 40.762863),2026-04-05,2026,4,5,4,Sunday,True
2026-04-01 15:00:00,subway,623,"Canal St (6,J,Z,N,Q,R,W)",Manhattan,omny,OMNY - Students,128.0,12.0,40.7187,-74.00058,POINT (-74.00058 40.7187),2026-04-01,2026,4,1,15,Wednesday,False
2026-04-05 16:00:00,subway,397,"86 St (4,5,6)",Manhattan,omny,OMNY - Students,48.0,3.0,40.77949,-73.95559,POINT (-73.95559 40.77949),2026-04-05,2026,4,5,16,Sunday,True
2026-04-15 09:00:00,subway,619,"Broadway-Lafayette St/Bleecker St (6,B,D,F,M)",Manhattan,omny,OMNY - Fair Fare,18.0,3.0,40.725605,-73.99543,POINT (-73.99543 40.725605),2026-04-15,2026,4,15,9,Wednesday,False
2026-04-16 20:00:00,subway,623,"Canal St (6,J,Z,N,Q,R,W)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,2.0,0.0,40.7187,-74.00058,POINT (-74.00058 40.7187),2026-04-16,2026,4,16,20,Thursday,False
2026-04-17 16:00:00,subway,312,79 St (1),Manhattan,omny,OMNY - Fair Fare,29.0,2.0,40.783936,-73.97992,POINT (-73.97992 40.783936),2026-04-17,2026,4,17,16,Friday,False
2026-04-10 05:00:00,subway,165,"23 St (C,E)",Manhattan,omny,OMNY - Seniors & Disability,8.0,0.0,40.745907,-73.99804,POINT (-73.99804 40.745907),2026-04-10,2026,4,10,5,Friday,False
2026-04-13 20:00:00,subway,162,"50 St (C,E)",Manhattan,omny,OMNY - Seniors & Disability,28.0,1.0,40.762455,-73.985985,POINT (-73.985985 40.762455),2026-04-13,2026,4,13,20,Monday,False
2026-04-02 19:00:00,subway,10,"49 St (N,R,W)",Manhattan,omny,OMNY - Fair Fare,23.0,0.0,40.7599,-73.98414,POINT (-73.98414 40.7599),2026-04-02,2026,4,2,19,Thursday,False
2026-04-13 14:00:00,subway,618,"14 St/8 Av (A,C,E,L)",Manhattan,omny,OMNY - Fair Fare,56.0,3.0,40.740334,-74.00214,POINT (-74.00214 40.740334),2026-04-13,2026,4,13,14,Monday,False
